# dnsbenchmark default resolver list
# Format: name<TAB>owner<TAB>address<TAB>transport<TAB>port<TAB>hostname
# transport: udp tcp doh dot
# hostname is optional; required only for DoH/DoT when the cert's SAN does not
# cover the literal IP (e.g. Google's DoH/DoT requires dns.google).
Cloudflare DNS	Cloudflare	1.1.1.1	udp	53
Cloudflare DNS	Cloudflare	1.0.0.1	udp	53
Cloudflare Family	Cloudflare	1.1.1.3	udp	53
Cloudflare DNS v6	Cloudflare	2606:4700:4700::1111	udp	53
Cloudflare DNS v6	Cloudflare	2606:4700:4700::1001	udp	53
Google Public DNS	Google	8.8.8.8	udp	53
Google Public DNS	Google	8.8.4.4	udp	53
Google Public DNS v6	Google	2001:4860:4860::8888	udp	53
Google Public DNS v6	Google	2001:4860:4860::8844	udp	53
Quad9	Quad9	9.9.9.9	udp	53
Quad9	Quad9	149.112.112.112	udp	53
Quad9 v6	Quad9	2620:fe::fe	udp	53
Quad9 v6	Quad9	2620:fe::9	udp	53
Quad9 Unfiltered	Quad9	9.9.9.10	udp	53
OpenDNS	Cisco	208.67.222.222	udp	53
OpenDNS	Cisco	208.67.220.220	udp	53
OpenDNS Family	Cisco	208.67.222.123	udp	53
AdGuard DNS	AdGuard	94.140.14.14	udp	53
AdGuard DNS	AdGuard	94.140.15.15	udp	53
AdGuard Family	AdGuard	94.140.14.15	udp	53
NextDNS	NextDNS	45.90.28.0	udp	53
ControlD	ControlD	76.76.2.0	udp	53
ControlD	ControlD	76.76.10.0	udp	53
Mullvad DNS	Mullvad	194.242.2.2	udp	53
Mullvad DNS Adblock	Mullvad	194.242.2.3	udp	53
DNS.SB	DNS.SB	185.222.222.222	udp	53
DNS.SB	DNS.SB	45.11.45.11	udp	53
LibreDNS	LibreDNS	116.203.115.192	udp	53
Comodo Secure DNS	Comodo	8.26.56.26	udp	53
Comodo Secure DNS	Comodo	8.20.247.20	udp	53
Verisign Public DNS	Verisign	64.6.64.6	udp	53
Verisign Public DNS	Verisign	64.6.65.6	udp	53
Dyn DNS	Dyn	216.146.35.35	udp	53
Dyn DNS	Dyn	216.146.36.36	udp	53
CleanBrowsing	CleanBrowsing	185.228.168.9	udp	53
CleanBrowsing Family	CleanBrowsing	185.228.168.168	udp	53
Yandex.DNS	Yandex	77.88.8.8	udp	53
Yandex.DNS	Yandex	77.88.8.1	udp	53
Cloudflare DoH	Cloudflare	1.1.1.1	doh	443	cloudflare-dns.com
Google DoH	Google	8.8.8.8	doh	443	dns.google
Quad9 DoH	Quad9	9.9.9.9	doh	443	dns.quad9.net
AdGuard DoH	AdGuard	94.140.14.14	doh	443	dns.adguard-dns.com
Cloudflare DoT	Cloudflare	1.1.1.1	dot	853	cloudflare-dns.com
Google DoT	Google	8.8.8.8	dot	853	dns.google
Quad9 DoT	Quad9	9.9.9.9	dot	853	dns.quad9.net
AdGuard DoT	AdGuard	94.140.14.14	dot	853	dns.adguard-dns.com
